AUTHOR,TITLE,REVIEW,RATING,AUTHOR_ID
lillysilva-97518, disappointing movie,This movie kinda sucked. A lot of unnecessary flashing lights which does tie into the plot but it got way too much at times. Hardly even a horror movie more like a thriller. The plot was also hard to follow along with during the second half of the movie. The flashing lights get VERY intense and theres about 30+ minutes of it during the entire movie i left the theatre with a headache. The idea was good just the execution was mediocre:/ (although i need to add the sound design was amazing and fit perfectly for each scene),4.0,635
Dan_Perazzo, Close to the worst movie I have ever seen,Some decent cinematography and nice early build of suspense. Then it gets bizarre not necessarily bad in a horror film. Then it goes off the rails dumb as hell and tries its best to give you a damn seizure. Ending sucks nothing rewarding or redeeming here! Avoid this at all costs pretty sure this movie gave me a headache! The acting is decent but overall complete trash! Not worthy of a movie theater and I wouldnt even put my TV through that!!!,2.0,636
kyleherbertz, rubbish!,Complete garbage from beginning to end. The plot was unclear the chain of events made no sense the endless cutaways to random images with annoyingly loud music makes me feel like I shouldve taken acid before going to the film so I could understand what was going on. The fact that critics thought this was a good film just further speaks to their lack of credibility. Stay away from this film if you value your time its TRASH.,1.0,637
cdcrb," run, don't walk, away.",Its been over a year since ive been to the movies and i am met with this mess of a flick. Incoherent and unintelligible i have no idea what it was about. Something to do with the pandemic i think. I felt especially bad for the actors. Anyway my vote for the worst movie of any year. I can guarantee you wont see a worse movie in 2021.,1.0,638
chrisreichertpr, Waste of time!!,Beyond weird and horrible. Plot goes completely off the rails turns into strange LSD acid trip at the end. Massive strobe lights for long time on screen gave me headache. Really wanted to walk out of theater but stayed thinking it might finally make sense - NOT!!!!,1.0,639
lafebre-80307," Slow, weird and pointless",Like too many horror films of late weirdness is a stand-in for coherence and story. Mumbo jumbo about a big rock that supposedly talks to humans. Very very slow film thats ultimately pointless.,3.0,640
chrisjeter-18027, Awful cringe torture junk,"Im so tired of movies being labeled as ""horror"" but then its just cringe grisly torture instead of anything remotely scary. I could at least appreciate it if there was some semblance of plot to tie things together but no just random senseless scenes that are barely related. Either come up with another genre to describe this long boring garbage or stop giving movies like this good reviews. Is it possible to take back my money so I dont accidentally contribute to any box office revenue for this dumpster fire?",1.0,641
nickrmaio, Just say no,Positively the biggest waste of time in years. It took 20 min of blurred dialogue to catch slightly on and two hours to just find out they had no idea themselves what the movie was about. Absolutely clueless. Cant give you spoilers because if you bother to watch its on you.,1.0,642
andrewmansker, Just don't do it!,"Had thoughts of ""does this make my top 3 worst movies of all time""? Does it compete with Death Curse of Tartu? Yellow Beard? Ishtar? If not it makes for a worthy mention.I just kept waiting and waiting for the ""story"" to come together. No there is no prize at the end of this film.",1.0,643
officialsierra-19439, Stupid boring,Very stupid. Very boring. Main character is an idiot. Forgot his name but its probably liam.,2.0,644
mattwoolfrey, So bummed,So disappointing an utter chore to watch. All the stuff you hated from AFIE; none of the stuff you loved fromKill List. Sit and stare at a strobe light for 45 minutes instead.,2.0,645
zamboni-36633," Horrible, horrible movie!",If I could give this movie a -10 I would do it. Stupid people doing stupid things. I didnt care about any of them. I thought it might compare to other supernatural entity movies but no. There is a warning in the beginning about people with photosensitive epilepsy possibly having seizures because of the light effects. I dont have epilepsy but I managed to get a pretty good headache from all the pounding constant flashing strobe lights. Avoid this one like your life depends on it.,1.0,646
tommyonbike, Ugh! Wish I could get that time back.,Kept waiting for the ah ha moment that would make this movie make sense. Unfortunately the credits ran before that moment.,1.0,647
stevendbeard, Doesn't Make A Lot Of Sense,"I saw ""In the Earth"" starring Joel Fry-Yesterday Game of Thrones_tv; Ellora Torchia-The Split_tv Midsommar; Reece Shearsmith-The League of Gentlemen_tv The Man Youre Not and Hayley Squires-Cat On a Hot Tin Roof_2018 A Royal Night Out.This is a weird little movie that doesnt make a lot of sense. There is a warning at the beginning of the movie that says something likeIf you are photosensitive to strobe lights this movie contains scenes that might trigger an epileptic seizure. Ooohhhh scary! It turns out to be more like the Blair Witch movie-an effort is made to scare you but not much is actually there. Joel plays a scientist that is traveling into the woods to meet an old colleague of his Hayley who has not been heard from in quite a while. She was supposed to have been working on some kind of virus cure but thats not the case. Ellora is the park ranger leading Joel into the woods-he might get lost otherwise-when they run into Reece who appears to have been living in the woods for a little while himself and has his own agenda going on. The epileptic causing scenes are mostly strobe lights going off that Hayley has set up for her experiments-she also has loud speakers attached to trees but its just really loud noise.Its rated ""R"" for violence grisley images and language and has a running time of 1 hour & 40 minutes.I would not buy this movie on DVD. I wouldnt rent it either. If you really have an interest in seeing it I would wait until its on basic cable tv.",3.0,648
seejackrunguitar-41487, Don't waste your time,The only way to enjoy this film is to take psychedelic drugs and imagine you are watching something else. The trailer was extremely deceptive. Its not scary. The characters are boring. The plot makes no sense. The dialogue is like listening to someone give a heartfelt speech at a karaoke night. And the ending is abrupt and extremely disappointing. Spent 50$ taking my wife out on a date to see this movie and I am surprised she didnt leave me on the spot. Please heed my advice and watch anything else.,1.0,649
baybaganz, A very well crafted horror film. Not for those seeking a traditional horror experience.,I had no idea what I was getting into coming in to this movie. My father brought me to see as he is a fan of the filmmakers other works. I must say I saw riveted throughout the whole experience. I never felt bored or felt like the film was meandering. The overall concept was fascinating and kept me intrigued and wanting to see what would come next. I dont want to give too much away with the story as I think its best to come in blind on this one as I did. My main complaint is with the ending. It felt very abrupt and I was scratching my head a little as I left the theatre. However I dont answers should always be handed to the viewer on a silver platter and Im sure the filmmaker wants the audience to contemplate the film afterwards which I definitely have been. It would have been nice to get a bit more pay off though. If you are a fan of films like Annihilation or The Witch I think this will be right up your ally. If you just want some traditional horror then you will most likely not enjoy this film. Ive seen many people give scathing reviews regarding this film and I just cant agree even with my problems with the way the story concludes. Very well crafted and original horror.,8.0,650
xbxfrk, Trailer much better than film.,Film looked like a horror movie from the trailer. The only terrifying thing in the movie was how bad it was. Genuinely the worst movie Ive ever seen.,2.0,651
acrona-16038, Horrible...just horrible,Well.....the first half (kinda) was interesting then it all went downhill.Im confident everyone who was involved in making this movie was high af.Lots of flashing pictures and light. Not much makes sense and its very confusing.Pro tip: Dont watch it if you have epilepsy!,2.0,652
nathanramirez21, Worst God Damn Film I've Ever Seen,Much like the film I wont go into detail but this was the single handed worst movie Ive ever seen. Ive seen better scripts and acting in smut films. Also I counted about seven times that the directors used an iPhone as opposed to an actual camera. I know of a local woman of the night infected with unmentionable diseases who would be a better use of $24.97 than this movie.,1.0,653
WankerReviews, creative but blah,I can appreciate when a movie is trying to be different but that didnt make me like the movie or story. The characters arent very likeable. The only good thing I can say is the acting is decent and the chase scene with the guy swinging the axe and the character stumbling around trying to get away from him was well done. The shaky camera made me feel disoriented and put me in the position as the characters. It had a lot of thrills but was short lived.,2.0,654
jmagazzu, Huh?,This movie was BAD. Its neither a Horror nor a Thriller. It was boring self-important rambling and had no discernable plot. If you insist on seeing it be sure to take earplugs because it relied heavily on numerous lengthy and loud acid-trip-esque scenes that were clearly used to take up time instead of having a point.,1.0,655
rgkarim, Does This Movie Belong In The Earth?,"LIKES:Good CinematographyMore UniqueCreepy AtmosphereGood ActingShorter Run TimeDISLIKES:Little BackstorySlow Pace At TimesThe Flashing Bulb Effects Are AnnoyingDisturbing At Time and not enjoyableTorture For Much Of The MovieAn Artistic Ambiguous Ending that lacked sustenanceThe Review:These movies can sometimes have some of the most unique camera work in the business and this movie lives to that trend. In The Earth dwells in the woods and the budget of this film seems to have made them think of the best ways to add creepy setting to the film. It succeeds well with the use of shadowy lenses obscure angle use of night time setting on cameras and multiple shots that help maximize the feeling of being alone in this odd situation. With the sound editing that goes with it the feeling of being isolated in the woods especially these woods helps assist with adding that creepy atmosphere that really is the scariest part of the movie for this writer. Its certainly a more unique approach to the scary story and the premise itself upon presentation is surprisingly different compared to the usual arsenal of demons specters and sources of terror that the horror genre has used for years. Thus those looking for the unique movie will get that aspect in the film especially that creepy atmosphere that gets under your skin. Outside of the cinematography the movie has many elements that add to the factor of skin crawling and wincing that these types of films can bring. The unknown mystery of the forest helps start things off the promise of hope and dismay lingering in the woods constantly fighting for balance really setting the stage for an anything can happen attitude. Once things heat up the movie starts to mess with the psyche of the audience as weird sounds start to emerge random events happening in the night and vague terminology and lore interweave to give an uncertainty that is uncomfortable but at the same time alluring. Yet the final layer that comes with it is the ""villains"" in this film whose actions and odd behaviors are really the most uncomfortable parts of the film. Without giving too much away what those in the woods are willing to do to fulfill the plan are quite disturbing and some of the scenes really made me cringe and scrunch in my seat at the horrors being unleashed.In regards to the acting the movie again gets props for another fine performance in this very vague role with characters whose layers are very limited in the grand scheme of this artistic movie. Joel Fry hits the central role well awkward hopeful and plays tired very well given all the states of mind his character was going to be required to play. While not the most spectacular role for Oscar winning he does not overact nor simplify the role and keeps the realism in check quite well. Ellora Torchia helps add a little more strength and diversity to the role bypassing the neutral tones of her counterpart and providing more of the emotional diversity he film needed. She definitely keeps the plot moving and acted as a stronger character for me to follow than the others who hit this role. As for Shearsmith and Squires they nail the awkward atmosphere quite well in both physical and nonphysical acting. The way they deliver their lines always conveys there is more than they are telling and just the mannerisms alone are enough to convince you there is more beneath the surface than you might expect.But thats where the good ends for me and the limitations start to arise for this off the path horror movie. For one thing the backstory is pretty lacking a small amount of snippets here and there built into casual conversation. The synopsis talking about the virus plaguing the world (sound familiar) is only a minor plot component and the expedition to find the cure is really more of a façade than anything else. Character backgrounds the true nature of the binding force even the inclusion of a few others characters are all diluted plot components that did little to impress me given the promise the film held. This may seem minor to some but it sort of affects the pacing of the film which despite a slow build up was very off kilter at times as the movie proceeded. Sometimes very slow and drawn out and other times moving at breakneck speed In The Earth fails to find its rhythm struggling to pick a plot to keep the show on the road and keep the suspense going.Instead the focus seemed to be on the presentation and effects of the force that lurked in the woods. One aspect was the flashing imagery/strobe light effects that this movie was all about portraying throughout most of the movie. Annoyingly bright white light flashes with obnoxious sounds fill many sequences in this film and can potentially cause headaches migraines and of course epileptic seizures. They did have the foresight to warn you but take it from this reviewer and really think about seeing this film if you have any of these effects as this effect is very favored. The other gimmick that comes in is the torture and not the kind like Saw with clever games of traps and survival but merely torture for the sake of enjoyment. This is not up my alley and though there was a semi plot component to it the conflicting duality of the antagonists with the vague plot components left little purpose for the detailed drawn out mayhem this film relished in. About 20-30 minutes of this film could have been edited out from this slow bout of torture and crushing of the human soul and spent on character development and plot development instead. Some will say this is a good artistic direction and to that I can nod some respect towards but at the cost of the other elements I cant say Im happy with the sacrifices made in the sake of artistic display. This is especially true with the ending which if you look at the picture for the poster... sort of gives things away sadly. Much like many choices in the movie the big ending went down the same obscure feeling that involved drawn out use of flashing lights some darker themes and few answers to the overall goal of this movie. Those who like the head scratching endings that make you think will again enjoy this but for those who like feeling mostly complete at the end of the film dont your hold breath on that element.The VERDICT:Overall the movie succeeds in blazing a new type of trail that defies the normal tread path of the genre. With an open to interpretation plot full of mystery and curiosity a creepy realistic setting cinematography that works and some legitimate acting are the foundations to anchor to during this rocky ride. Yet the artistic approach to making this film while impressive and unique is not the most entertaining or sensible use of time. The uneven pace makes the movie feel long and the drawn out scenes of torture inhumane tactics and more focus on the obscure flashing vs. The sensible. Without a plot to tie it together and make the whole thing sensible a lot of this artistic features did not seem needed when it could have led to much better storytelling which I like. Without the complete ending and failing to deliver on the potential this film had to offer this movie is definitely not the new edge thriller I had hoped. Thus recommendations for this film are low for a theater visit and not much more for a view at home especially given the flashing lights effects. Therefore my scores are:Horror: 4.0Movie Overall: 2.5-3.0.",4.0,656
VolYotenbane, A psychedelic ride for the senses,"There was so much I loved about this art haus horror film. I appreciated the plot and call-out to alchemy shamanism and the forest as a deity who is desperate to send a message to humans. The cinematography was beautiful and captured what can be described as the ""brain"" of nature with flashing synapses both ephemeral and eternal all at once combining cyclical nature with the man-made flashes of photography. I loved the air of mystery and dread behind it and the sound design certainly added to that. My critique is that the film felt a little drawn out; it could have been cut down. However I saw this at Sundance so it could have been a rough cut. With some tightening up this visceral and psychedelic slow-burn horror shows quite a bit of promise.",8.0,657
ixla, Watch the trailer then walk away - that's as good as it gets.,After watching the trailer I was hoping for a Dog Soldiers or Severance style film but it was nothing of the sort. The only dog was the movie and the only severance was me turning it off after an hour because I couldnt face 45 minutes more. The storyline was vague and the main characters were just too weak to get up to speed at all.,2.0,658
Tsull73-503-253468, Had potential but,1st problem: The virus has nothing to do with anything in this movie other than giving a reason why the cast are in masks.2nd problem: one could have not paid attention for a moment and have no idea what the point of any if it is.3rdproblem : the acting was average and thescript didnt offer enough to make up for it.Good thing :some cool psychedelic scenes if you and your buddies get stoned and stuff.,5.0,659
amberapple-13224, A chilling folk horror tale,With a mysterious pandemic as a backdrop two scientists enter an English woodland to check up on one of their colleagues who has been experimenting with the forests unique energies. Before they find their colleague they meet up with a reclusive man who has been living close to the land for some time. This film explores themes that Wheatley fans will recall from A FIELD IN ENGLAND and KILL LIST: bits of rural folklore earth mysteries and pagan mysticism all play a part but ultimately the horror lies in the human capacity for self-preservation.,9.0,660
dnathanr1111, A modern folktale on acid.,This was....something. I have no clue what these people rating this a 1-4 are talking about. This was AMAZING.A modern folktale on the relationship with humans and nature and the fight to be harmonious when itll never happen.Words cannot explain how CRAZY this movie is. The editing the visuals but most of all the SOUND. The score and the sound effects in this are just next level. Half of the movie consists of some of the most insanely annoying yet most uncomfortable things youve ever heard. Theyre literally just frequencies and noises but after hearing them its just stuck in your head.The visuals...wow the visuals. 3 different scenes caused me to completely cringe and I NEVER cringe at body horror. Never have except for those 3 scenes. I have 0 clue how they caused it to be so realistic...so visceralAlso the editing and the psychedelic-inspired (obviously) make you feel like you took a handful of mushrooms (pun intended if youve seen the movie). Its utterly mesmerizingThe story is very interesting as youre dropped into basically the middle of a story. A pandemic is happening 2 researchers are missing a scientist and a park ranger are going to find them.Thats when Martin ends up where he is at the beginning of the movie. After that the sh!tshow begins.I almost thought Olivia was gonna be good ALMOST. As soon as I heard her and Zach were once together though I knew for a fact she was gonna be crazy as hell too.This movie shows no matter what side youre on scientific or not you can go mad with the search for answers.The amount of inspirations in this movie is a LOT. I mean very folktale-like paganism nature mysticism Wicca so so much stuff you can make little notes on. Its just phenomenal.,9.0,661
andycapp-63845, An Utter Waste of Time!,This movie lacked character development compelling characters an interesting story a plot logical reasoning for characters actions and conflict resolution. Mixed in between boring walks in the woods where characters discussed absolutely nothing meaningful that in no way moved the story along there was massive strobing lights and strange music that just served to annoy and confuse. Do not waste your time with this sleeper.,1.0,662
mjanelle-24974, Good and bad (And GOD?),Very much a mixed review. This was by far one of the most bizarre movies Ive seen in a while. Started slow and awkward like they were trying for some kind of sexual tension between the two main characters. But that pretty much fizzled. This was followed by several scenes of continued awkward conversation followed by senseless violence (why???). Followed by creepy violence weird kidnapping whatever. Then escape and rescue but into something maybe worse.So Im sorry. I didnt get it. The performances were actually very good. But he left the theater confused  disturbed (but not in an interesting way - like Inheritance). I didnt feel like I was better or more informed by spending this two hours with this movie. Id wait for free streaming.,5.0,663
stephrory, Killer dude,Trees man its all about them trees. Oh and the woods man all about them woods.,6.0,664
tservo-38280, Boring and Torturous,I have seen a lot of bad movies in my day but none of them have ever been such trash that I felt the need to write a review. The first third of this movie is incredibly tedious and the protagonist is an unlikeable wimp; the costar is decent but she only stood out because the protagonist is utterly useless. The middle is slightly more interesting but not by much. The last of the movie is almost unwatchable and pure torture. They blare loud sounds and awful music that were ear rape then had a strobe light effect that nearly made me vomit and triggered a splitting headache (theres a special place in hell for the person who thought that effect was a good idea); this goes on and on until finally and thankfully this boring slog of a movie ends. Nothing at all happens and not a darn thing is learned. Save yourself 2 hours and a migraine and see something else I recommend the demon slayer movie - it was 10 out of 10 fantastic.,1.0,665
sweidman-28016, Unsettling,"""Can you feel him now? In the earth?""***To hook your attention me (Sawyer) a person who is rarely shook was kind of freak out by this movie***Hi! Its been over a week and I have not stopped thinking about In the Earth. As the world searches for a cure to a disastrous virus a scientist and park scout venture deep in the forest for a routine equipment run. Through the night their journey becomes a terrifying voyage through the heart of darkness the forest coming to life around them. Ben Wheatley is typically a hit or miss kind of director. Ive only seen Free Fire so I cant really expand upon this. In the Earth premiered at Sundance this year however we decided to skip it considering most peoples thoughts on Wheatleys movies. Many are considering this to be a return-to-form movie. And many are saying this is the worst movie theyve ever seen. After seeing this opening night I immediately went back to the theater the next day because it stuck with me so much and I needed answers. In the Earth will not be everybody and probably wont resonate with most but I found a lot to like with it. The premise is quite simple in setup. We get this eco-horror eerie feel and we know something bad is going to happen. Though Wheatley put out a list of movies that inspired it and Annihilation Midsommar and The Ritual (which I actually watched right after seeing this) werent included they all had to have been. They are similar in concept and style. For some the beginning will feel slow but I think it goes by pretty fast. Slowly it grows into something more terrifying. By the end everything breaks loose. It has one of those endings that is absolutely chaos to the point you dont know what to think of it. The whole time I was gripping the arms of my seat. Intensity works in its favor and Wheatley knows how to get to your core whether its through visuals or sound design.The small cast does a great job you cant deny that. Were with Martin (Joel Fry) and Alma (Ellora Torchia) for a significant amount of the runtime. If theyre attached to any horror projects in the future I would love to see them. Weve seen Torchia in Midsommar before and she proves to take acting to the next level. Shes by far my favorite part of the whole movie. Fun fact: In the Earth was conceived written and produced all during quarantine. They actually shot the movie over a course of 12 days (I believe) so when you see the final product its amazing to see what was all accomplished. There are a few technical aspects that couldve used some fine tuning. Two cameras were used during shooting. One of them has really nice quality and the other looks like it was shot on iPhone. Not very often are those shots used but its very noticeable and sort of distracting at times. Also a few times the editing didnt necessarily work and theres seconds of black screen when it couldve easily gone straight to the next shot. As story goes I like it. Some of the dialogue isnt as good as it could be but I can live with it. My biggest concern with the story is what it has to say. Wheatley has a message to be said about human and nature but its not clear enough to see what exactly he wants to say. And when it comes to the demonic nature of the story not much is clarified which is where some audiences didnt like it. Part of the reason I went to see it again was to figure out what was actually happening especially towards the end. I now know a little more than I did on first viewing but I still am not sure what actually happened. Id love for Wheatley or someone to digest everything so we can have some clarity to what it all means.Now you can learn why this freaked me out a bit. The movie is designed to make you feel disoriented. Before it starts theres a message on the screen explaining how theres a significant amount of flashing lights that could be a concern to those prone to epileptic episodes. I love the use of flashing lights because you get some amazing visuals but I thought I was going to have a seizure. Adding to this theres also a constant droning bass to make you feel uneasy. Part of the story has to do with the connection from humans to ecosystem using lights and bass. Plants do communicate through frequencies using their roots and thats how the score is built. Clint Mansell crafted an excellent score to make it feel both like a midnight movie and get you on edge. Back to the bass theres that and feedback thats extremely loud. Some moments I thought my eardrums were about to burst. The sound and flashing lights are so intense and effective that about half of the people in the theater (granted it was about 10 of us) left. The editing (not the bad stuff I mentioned before) for the ""horror"" scenes and especially the end are very fast cut and well edited to further this effect. I left the theater feeling like I was going to be sick. Rarely do you get this kind of experience with a movie. The story isnt that scary where most of my fear came from that. Its all with how it makes you feel. I saw this in a fancy theater with a bigger screen louder sound and all that jazz. Im not sure how you could watch this movie in your house on a TV. Really In the Earth is meant to be seen in a theater. Most theaters arent playing the movie solely because its an indie flick that most havent even heard of so the opportunity to view this how it should be is very limited. Can I recommend In the Earth? To that I would say it depends on the person. Its a very mixed bag and it all depends on your views of horror and how you handle those effects. I like In the Earth. Its a movie like no other and will constantly be in the back of my head.",7.0,666
HorrorFreak1997, A psychedelic assault on the senses.,"Ben Wheatleys ""In the Earth"" is to put it simply a psychedelic sensory overload. There are many moments In the film where the use of flashing lights unbearable sounds and flashing imagery takes over. For some this will detract from the experience but for others this will just add to the maddening effect of the movie. Almost like miniature nightmare segments that make you incredibly uncomfortable.In terms of plot we finally have a truly interesting pandemic setting! A deadly virus has its grip on humanity and a scientist goes into the forest in hopes to discover a way to communicate with nature. This scientist believes if she can communicate with nature she can discover a way for humans and nature to live peacefully as one. Therefore removing things like viruses from existence. But when her colleagues lose contact with her they send our two main characters into the woods to find her.Our two main characters trek through the woods and eventually stumble upon a man who claims to be able to hear the spirit of the woods. Talking to him. Telling him to do insane things.This man is of course a threat but our heroes escape him and find the scientist.The scientist is eventually revealed to be working with the madman to complete a ritual. In her mind its an experiment in his mind a ritual.. theyve both gone mad. But all throughout we see shots of mushrooms expelling a toxin into the air as well. And at the beginning of the film its mentioned that the forest is the home to a spirit.Is it really possible to communicate with nature through light and sound like the scientist believes? Is there really a spirit in those woods controlling the madman? Or is it the mushrooms causing everybody to go insane? Theres many ways to interpret the movie. I suppose either explanation could work individually or simultaneously.One thing that can definitely be said is that ""In The Earth"" is a cinema experience like no other. I cant see it having the same effect at home on your couch. Something about seeing it on the big screen the visuals were intense and the sounds even more intense.To me the movie is about humanitys relationship with nature. In a time where humanity has become as desperate as ever to what lengths will we go to to find meaning and answers. Do the answers we seek even exist? As the mushroom mist nearly engulfs the camp.. our characters agree to perform the ritual/experiment. Displaying humanitys desperation to understand and befriend nature. But the only answer we the audience are given is that humans and nature can never exist together in harmony. One will always destroy the other.10/10.",10.0,667
amorosoika, ika amoroso,Do not watch it i was hoping that it would be great one totally disappointment.,2.0,668
annmcorpuz, Worst movie of of the century,Worst movie Ive ever seen in my life! Waste of time.,1.0,669
karlapolanco14, Worst movie ever,This is the worst movie Ive ever seen in my life.. it starts with a plot about a disease similar to our current virus and then this is not mentioned ever again through out the movie. Visuals are awful and could give a non epileptic person an epileptic attack. No plot whatsoever.,2.0,670
mensurmujic, So weird and cheap movie,I dont usually write reviews but this by far worst movie I ever seen. Movie was made so cheap probably 500$ all together. Another point is that this movie was not scary at all. It was just some weird scenes like people tripping on some kind of psychological drugs. I need to get paid by producer just for watching a whole movie. I am just wondering how come it has rating 5.7???,1.0,671
ktulu20, Not for normies.,I guess most of the peope hating this movies are not fans of the others Ben Wheatley Movies. Like kill list or a field in england everything becomes stranger and in this case trippy in this movie. I think the most prefer regular and overused horror like the conjuring and thoose anabelle horrible movies. I preffer this odd strange and rare trip. Thanks Ben.,10.0,672
jasz-90338, When you do mushrooms and ecstasy this is the result.,(spoiler)Two naive folks wonder into a forest filled with mushrooms and mad scientists with chemicals.Awesome.,8.0,673
david_rudy_lee, Atmopsheric Return to Horror for Ben Wheatley,This was a movie that Ill be honest jumped on to my radar as something to see for this year thanks to Duncan from The Podcast Under the Stairs. Him and Mr. Watson did a season of Opera Omnia that covered the filmography of writer/director Ben Wheatley. Hes a director that I believe Ive only seen one of his films at this time but that one I really liked. For this I came in blind just knowing it was getting some buzz that it was horror and getting to see it in the theater. The synopsis is as the world searches for a cure to a disastrous virus a scientist and park scout venture deep in the forest for a routine equipment run.We start this movie off with someone with a sledgehammer breaking a rock. They are smashing it into tiny pieces and the reason for this they are creating a booby-trap. One of these placed in the ground and hidden with grass over it. We then shift over to Martin Lowery (Joel Fry) approaching a cabin. As the synopsis states there is a virus pandemic so they have precautions here. He has to be sanitized before he can enter. There are more tests and checking out his paperwork that is done by James (John Hollingworth) and Frank (Mark Monero).Once everything has checked out Martin then meets with Alma (Ellora Torchia). She is the park ranger that is going to take him out to the campsite where the experiment is being done. The two meet in a room where on the wall is an old hand drawn picture. There is an entity of the woods that has become folklore according to Alma. The people from the nearby village have reverence for it as it almost seems like a god of sorts. What he sees makes Martin uncomfortable.The next day the two of them set out. It is a 2 day hike to make the campsite. Things seem to be going good until theyre attacked in the middle of the night. They wake up to find the equipment Martin was bringing was taken. Their shoes are gone and most of their supplies. They continue on but are slowed when Martin steps on a stone that gashes his foot. Their fortunes seem to be looking up when they encounter Zach (Reece Shearsmith) who is living off the land. He takes them but living out here might have made him a bit crazy. They arent too far from the camp theyre going for and it becomes a nightmare as they try to survive this ordeal.That is where I want to leave my recap for this movie. Where I want to start is giving credit to Wheatley. He wrote and directed this movie all during this COVID pandemic. I think it is quite strategic in what he did here with the writing. He is establishing that it is taking place during a pandemic but having it out in the woods he isnt under the constraints there as you would setting it in a city. There is a limited cast which also helps. It also feels that he research Olivia Wendle (Hayley Squires) is doing out there might help with finding a cure.Taking the setting even farther I love the idea of the isolation that comes from putting us deep in the woods. Once they are out in the wilderness it would take too long to get back so most of the time theyre closer to their destination. There is the feeling that they might never be found on top of that. This all builds tension. Making things worse is that you have Zach who from the beginning we learn that theres something off about him. I dont want to put him down but at first we just think hes a hermit. These people tend to be a bit off due to lack of human interaction. There is more to him than that though. Wendle has a similar feel. For her though how long shes been out there mostly alone has she seeming to descend into madness. I think how far into the woods this takes place builds that feeling of dread in the movie.There is also the idea of this entity in the woods. The moment I heard that I really started to look for things in the background of shots. I have to give credit to the cinematography here. There are times where I think there could be something there but it is only for a frame before it disappears. This helps with the atmosphere for the movie for me. We get more about this potential entity from Wendle as well. I like what the reveal is here and there is an interesting idea brought forth that could explain this virus as well. It really makes you wonder if some of things happening later are really happening or we have madness induced by nature and/or isolation.I believe that is enough for the story without going into spoilers. Where I want to shift next then would be the acting. I was excited to see Fry as Ive seen him in other things. I think he does a really good job as Martin here. I feel bad for him though as a lot of bad things seem to happen to him. Shearsmith looks great as Zach and I love the character he plays here. Squires is solid as Wendle. The big thing here is that we dont get to meet her until late but once we do she does a great job in building the atmosphere as well as establishing more of the lore. Torchia is good as well as Alma and the rest of the cast rounds this out for what was needed.Ive already said a bit about the cinematography but Ill double down that this movie is shot beautifully. It does a great job at giving us nature shots that still give a creepy vibe. On top of that the editing with certain shots helps. We also get some strobe lights later in the movie that adds as well. Aside from that I think the effects we get in the movie are great. They are done practical and are quite brutal. I was cringing quite a few times.Then really the last thing that I wanted to go over would be the soundtrack. It is used masterfully here. The vibe that the music gives to some scenes we are seeing helps to make them feel creepy even when nothing is happening. We also get some great use of sound off screen like people yelling. The music that is used during the climax also adds on top of this as well.In conclusion I really dug the concept and the story of this movie. It is taking something that most people in the world are sick of dealing with in a pandemic but giving us a different look at it. I think the setting of the woods is great for the isolation that comes with it. The lore that is established and built on as the movie goes is great as well. I would say that the acting is really good across the board. The effects cinematography and the soundtrack all work as well to build the atmosphere that this movie needs. This is one that I plan to rewatch before the year ends to see where it falls. After this first viewing Im sitting on it as a good movie.,8.0,674
rfan-66633, Incredible,"Maybe the only way to see this film is by sitting in the parking lot reading all the bad reviews before going in. To prime you for the suckage.I was mesmerized by it. I found myself shazaming everything I could and listened to ""Hammer of the Witches"" on repeat on the ride home.Its a visual and auditory experience. See it in the theater.I think people hate this film because its not spelled out to you what is happening. Im not entirely sure that I understood it all but I think think got it and will see it again.What a ride. There is a scene where she is pulled out of the mist by her colleagues with a rope. She is crying hysterically and babbling. Ive never seen an actor get to the point that she did. In her wonderful performance there I got what she was trying to say.Beware there are a few disturbing images in the film of gore. But when wandering into that mist what the viewer experiences on the screen may be even more difficult to sit through. This film is an achievement.",8.0,675
bdpeterson-06310, Very disappointed...,Loud sounds and flashing lights do not make a movie good or scary...After the movie was over it took me about an hour to regain my sight fully because of all the excessive flashing lights that did nothing for the plot or the movie except give me a headache.,3.0,676
eckler-74570, Be open minded and enjoy.,I didnt really know much about the movie before going in. Having seen it and reading more afterwards Im more impressed than when I left the theater. For what they had to work with a very interesting and atmospheric production was made. Enjoyed the actors and the different elements used to make this movie look and feel as wonderful as it was.Science magic psychology superstition tension release - what a really really neat piece to watch!,8.0,677
ricky_dry_county, The reviews here are brutal!,1) And the negative reviewers are spot on. I just happened to not mind the artsy vignettes LSD flashes and the overall vibe. The misty important thing was that unlike current films the characters werent annoying or spewing amateur political vitriol. The lead guy was abysmally low on testosterone throughout and the lead lady has to literally carry him around quite hilarious actually.2) Its low budget but is trying to reach higher than it is capable of. Certain story structures are lost amidst the obsession with ambience and audio (Did the weird forest couple plan this together? Not much is said about it),7.0,678
